Local time,Open,High,Low,Close,Volume
31.12.2022 23:00:00.000 GMT+0100,3845.682,3845.682,3845.682,3845.682,0
01.01.2023 23:00:00.000 GMT+0100,3845.682,3845.682,3845.682,3845.682,0
02.01.2023 23:00:00.000 GMT+0100,3874.502,3884.388,3793.374,3818.385,66.7548
03.01.2023 23:00:00.000 GMT+0100,3820.955,3873.999,3814.774,3850.902,59.669099999999986
04.01.2023 23:00:00.000 GMT+0100,3848.364,3863.315,3802.472,3809.324,51.7617
05.01.2023 23:00:00.000 GMT+0100,3812.484,3906.595,3798.704,3891.982,52.4771
06.01.2023 23:00:00.000 GMT+0100,3891.982,3891.982,3891.982,3891.982,0
07.01.2023 23:00:00.000 GMT+0100,3891.982,3891.982,3891.982,3891.982,0
08.01.2023 23:00:00.000 GMT+0100,3897.899,3951.120,3888.725,3890.720,43.70299999999999
09.01.2023 23:00:00.000 GMT+0100,3893.269,3922.359,3870.414,3919.392,52.6191
10.01.2023 23:00:00.000 GMT+0100,3919.774,3969.757,3913.524,3968.722,34.1048
11.01.2023 23:00:00.000 GMT+0100,3969.997,4000.527,3934.650,3984.770,64.1294
12.01.2023 23:00:00.000 GMT+0100,3983.424,4004.445,3942.610,3996.294,43.631
13.01.2023 23:00:00.000 GMT+0100,3996.294,3996.294,3996.294,3996.294,0
14.01.2023 23:00:00.000 GMT+0100,3996.294,3996.294,3996.294,3996.294,0
15.01.2023 23:00:00.000 GMT+0100,4002.661,4009.310,3977.885,3990.135,15.0149
16.01.2023 23:00:00.000 GMT+0100,3991.879,4016.144,3981.629,3990.422,37.460100000000004
17.01.2023 23:00:00.000 GMT+0100,3988.550,4015.204,3926.755,3928.297,46.8328
18.01.2023 23:00:00.000 GMT+0100,3926.295,3931.047,3885.552,3901.170,47.624900000000004
19.01.2023 23:00:00.000 GMT+0100,3906.339,3973.377,3895.164,3969.479,36.9319
20.01.2023 23:00:00.000 GMT+0100,3969.479,3969.479,3969.479,3969.479,0
21.01.2023 23:00:00.000 GMT+0100,3969.479,3969.479,3969.479,3969.479,0
22.01.2023 23:00:00.000 GMT+0100,3971.268,4040.132,3963.641,4017.429,37.6026
