Local time,Open,High,Low,Close,Volume
31.12.2020 23:00:00.000 GMT+0100,29020,29020,29020,29020,0
01.01.2021 23:00:00.000 GMT+0100,29275,33352,29069,31732,3.2886
02.01.2021 23:00:00.000 GMT+0100,31743,34797,31484,33622,5.493899999999999
03.01.2021 23:00:00.000 GMT+0100,33622,33693,27952,31066,5.757700000000001
04.01.2021 23:00:00.000 GMT+0100,31066,34304,29976,33834,5.6623
05.01.2021 23:00:00.000 GMT+0100,33842,36561,33401,35968,5.4506
06.01.2021 23:00:00.000 GMT+0100,35969,40423,35820,39767,6.188799999999999
07.01.2021 23:00:00.000 GMT+0100,39766,42019,36636,40101,5.625
08.01.2021 23:00:00.000 GMT+0100,40104,41479,38831,40899,6.5813
09.01.2021 23:00:00.000 GMT+0100,40896,41486,34939,38101,6.0332
10.01.2021 23:00:00.000 GMT+0100,38065,39076,30340,34012,5.9131
11.01.2021 23:00:00.000 GMT+0100,34068,36644,32556,34750,2.527599999999999
12.01.2021 23:00:00.000 GMT+0100,34750,37437,32395,37321,2.3424000000000005
13.01.2021 23:00:00.000 GMT+0100,37323,40135,36816,38812,1.8771000000000002
14.01.2021 23:00:00.000 GMT+0100,38806,39730,34434,36288,51530.853899999995
15.01.2021 23:00:00.000 GMT+0100,36286,37971,35576,35969,94153.0559
16.01.2021 23:00:00.000 GMT+0100,35970,36868,33884,36570,82017.56919999998
17.01.2021 23:00:00.000 GMT+0100,36598,37455,34807,36258,99869.18110000002
18.01.2021 23:00:00.000 GMT+0100,36258,37882,36104,36508,99394.22659999998
19.01.2021 23:00:00.000 GMT+0100,36508,36815,33435,34934,108927.30329999999
20.01.2021 23:00:00.000 GMT+0100,34930,35699,31009,31234,103546.238
21.01.2021 23:00:00.000 GMT+0100,31238,33883,28830,33354,153363.56430000003
22.01.2021 23:00:00.000 GMT+0100,33353,33655,31468,32397,77863.77279999999
23.01.2021 23:00:00.000 GMT+0100,32394,33109,30987,31974,67259.04579999999
24.01.2021 23:00:00.000 GMT+0100,31975,34906,31725,32742,1.3407999999999998
25.01.2021 23:00:00.000 GMT+0100,32661,32858,30873,32046,1.9723999999999997
26.01.2021 23:00:00.000 GMT+0100,32040,32968,29257,31030,3.6565000000000003
27.01.2021 23:00:00.000 GMT+0100,31029,33365,29926,33276,3.6509000000000005
28.01.2021 23:00:00.000 GMT+0100,33276,38655,32024,34664,3.445
29.01.2021 23:00:00.000 GMT+0100,34656,35384,32884,34726,0.9728000000000001
30.01.2021 23:00:00.000 GMT+0100,34726,34823,32236,32635,0.8331
31.01.2021 23:00:00.000 GMT+0100,32687,34732,32363,33692,2.4774999999999996
01.02.2021 23:00:00.000 GMT+0100,33692,36034,33482,35716,2.6184999999999996
02.02.2021 23:00:00.000 GMT+0100,35716,37482,35432,37324,2.7364999999999995
03.02.2021 23:00:00.000 GMT+0100,37325,38774,36247,37714,2.7537
04.02.2021 23:00:00.000 GMT+0100,37713,38378,36658,37887,2.2446000000000006
05.02.2021 23:00:00.000 GMT+0100,37887,41021,37750,40120,1.1459
06.02.2021 23:00:00.000 GMT+0100,40117,40537,37435,38624,1.286
07.02.2021 23:00:00.000 GMT+0100,38624,44832,38092,44777,1.8074000000000001
08.02.2021 23:00:00.000 GMT+0100,44777,48234,44354,47383,2.0257
09.02.2021 23:00:00.000 GMT+0100,47302,47382,43787,45089,1.7686
10.02.2021 23:00:00.000 GMT+0100,45014,48717,44080,46974,1.4656000000000002
11.02.2021 23:00:00.000 GMT+0100,46962,48940,46316,48003,1.7432
12.02.2021 23:00:00.000 GMT+0100,48004,48251,46338,47232,1.4402
13.02.2021 23:00:00.000 GMT+0100,47231,49740,46992,48919,1.3203
14.02.2021 23:00:00.000 GMT+0100,48919,49372,45941,48256,1.7875
15.02.2021 23:00:00.000 GMT+0100,48259,50617,47112,48631,1.7528000000000004
16.02.2021 23:00:00.000 GMT+0100,48631,52677,48572,52435,1.8253
17.02.2021 23:00:00.000 GMT+0100,52435,52587,50909,52087,1.2388000000000001
18.02.2021 23:00:00.000 GMT+0100,52087,56363,50796,55687,1.4206
19.02.2021 23:00:00.000 GMT+0100,55691,57548,55124,56579,1.003
20.02.2021 23:00:00.000 GMT+0100,56581,58401,54073,57410,1.7425000000000002
21.02.2021 23:00:00.000 GMT+0100,57420,57705,47694,54980,2.2512000000000003
22.02.2021 23:00:00.000 GMT+0100,54980,55061,44957,48012,3.0611999999999995
23.02.2021 23:00:00.000 GMT+0100,48003,51450,47069,48810,2.4377000000000004
24.02.2021 23:00:00.000 GMT+0100,48812,52109,48082,48116,2.0807
25.02.2021 23:00:00.000 GMT+0100,48118,48866,44197,45724,2.5911999999999997
26.02.2021 23:00:00.000 GMT+0100,45724,48398,45133,46898,1.5178
27.02.2021 23:00:00.000 GMT+0100,46897,46904,43084,45289,2.4705
28.02.2021 23:00:00.000 GMT+0100,45304,49556,44921,48905,1.9652000000000003
01.03.2021 23:00:00.000 GMT+0100,48906,50280,47124,47494,1.5967000000000002
02.03.2021 23:00:00.000 GMT+0100,47493,52676,47422,50986,1.5804999999999998
03.03.2021 23:00:00.000 GMT+0100,50986,51834,47542,47968,1.9183999999999997
04.03.2021 23:00:00.000 GMT+0100,47975,49503,46326,49105,1.7763999999999998
05.03.2021 23:00:00.000 GMT+0100,49105,49434,47143,48646,1.2601
06.03.2021 23:00:00.000 GMT+0100,48646,51398,48561,50158,1.4511000000000005
07.03.2021 23:00:00.000 GMT+0100,50138,52023,49374,51930,1.6008000000000002
08.03.2021 23:00:00.000 GMT+0100,51930,54861,51478,54363,1.4575
09.03.2021 23:00:00.000 GMT+0100,54361,57412,53083,56979,1.6251000000000002
