Local time,Open,High,Low,Close,Volume
17.02.2021 03:00:00.000 GMT+0100,49333,50253,49184,49763,0.2986
17.02.2021 07:00:00.000 GMT+0100,49763,51743,49707,51534,0.3449
17.02.2021 11:00:00.000 GMT+0100,51534,51735,50550,51186,0.3476
17.02.2021 15:00:00.000 GMT+0100,51186,51636,50782,51414,0.3002
17.02.2021 19:00:00.000 GMT+0100,51414,52677,51356,52435,0.33009999999999995
17.02.2021 23:00:00.000 GMT+0100,52435,52587,52019,52202,0.23
18.02.2021 03:00:00.000 GMT+0100,52202,52480,51792,52250,0.1943
18.02.2021 07:00:00.000 GMT+0100,52249,52302,51377,51809,0.21159999999999998
18.02.2021 11:00:00.000 GMT+0100,51810,52047,50909,51834,0.18009999999999998
18.02.2021 15:00:00.000 GMT+0100,51834,52316,51455,51855,0.24000000000000002
18.02.2021 19:00:00.000 GMT+0100,51855,52236,51578,52087,0.1828
18.02.2021 23:00:00.000 GMT+0100,52087,52128,51199,51343,0.231
19.02.2021 03:00:00.000 GMT+0100,51342,51544,50796,51529,0.21999999999999997
19.02.2021 07:00:00.000 GMT+0100,51530,52911,51529,52692,0.1721
19.02.2021 11:00:00.000 GMT+0100,52692,52947,52385,52831,0.1686
19.02.2021 15:00:00.000 GMT+0100,52832,54908,52695,54828,0.28609999999999997
19.02.2021 19:00:00.000 GMT+0100,54832,56363,54658,55687,0.3428
19.02.2021 23:00:00.000 GMT+0100,55691,56644,55182,56253,0.2075
20.02.2021 03:00:00.000 GMT+0100,56251,56476,55603,55737,0.1638
20.02.2021 07:00:00.000 GMT+0100,55735,56038,55124,55325,0.14179999999999998
20.02.2021 11:00:00.000 GMT+0100,55322,57548,55309,57348,0.15489999999999998
20.02.2021 15:00:00.000 GMT+0100,57349,57536,55915,57137,0.1875
20.02.2021 19:00:00.000 GMT+0100,57145,57316,56348,56579,0.1475
20.02.2021 23:00:00.000 GMT+0100,56581,56586,54073,56426,0.35509999999999997
21.02.2021 03:00:00.000 GMT+0100,56426,57019,56215,56638,0.2526
21.02.2021 07:00:00.000 GMT+0100,56637,56921,55917,56886,0.2534
21.02.2021 11:00:00.000 GMT+0100,56886,57858,56734,57242,0.2751
21.02.2021 15:00:00.000 GMT+0100,57241,57826,56894,57588,0.32499999999999996
21.02.2021 19:00:00.000 GMT+0100,57589,58401,57321,57410,0.2813
21.02.2021 23:00:00.000 GMT+0100,57420,57705,56153,56955,0.3212
22.02.2021 03:00:00.000 GMT+0100,56952,57330,55192,55884,0.3829
22.02.2021 07:00:00.000 GMT+0100,55884,56676,54442,54747,0.26230000000000003
22.02.2021 11:00:00.000 GMT+0100,54747,55292,52018,52036,0.44730000000000003
22.02.2021 15:00:00.000 GMT+0100,52048,54162,47694,52112,0.49339999999999995
22.02.2021 19:00:00.000 GMT+0100,52112,54980,51611,54980,0.3441
22.02.2021 23:00:00.000 GMT+0100,54980,55061,52353,52555,0.3934
23.02.2021 03:00:00.000 GMT+0100,52561,52900,48639,50021,0.5083
23.02.2021 07:00:00.000 GMT+0100,50016,51260,45048,48103,0.5920000000000001
23.02.2021 11:00:00.000 GMT+0100,48103,49602,44957,48770,0.5838
23.02.2021 15:00:00.000 GMT+0100,48771,49349,45873,47170,0.4535
23.02.2021 19:00:00.000 GMT+0100,47176,48499,45250,48012,0.5302
23.02.2021 23:00:00.000 GMT+0100,48003,50262,47069,50237,0.469
24.02.2021 03:00:00.000 GMT+0100,50238,51433,49876,50257,0.46609999999999996
24.02.2021 07:00:00.000 GMT+0100,50261,51450,49526,50943,0.3897
24.02.2021 11:00:00.000 GMT+0100,50943,51331,49106,49512,0.4273
24.02.2021 15:00:00.000 GMT+0100,49513,50179,48542,50130,0.3734
24.02.2021 19:00:00.000 GMT+0100,50129,50141,48185,48810,0.3122
24.02.2021 23:00:00.000 GMT+0100,48812,50920,48128,50550,0.3376
25.02.2021 03:00:00.000 GMT+0100,50550,50875,49631,50467,0.3169
25.02.2021 07:00:00.000 GMT+0100,50467,50655,48710,49074,0.3359
25.02.2021 11:00:00.000 GMT+0100,49072,52109,48919,51431,0.3521
25.02.2021 15:00:00.000 GMT+0100,51430,51585,49373,49559,0.3684
25.02.2021 19:00:00.000 GMT+0100,49559,50105,48082,48116,0.3698
25.02.2021 23:00:00.000 GMT+0100,48118,48866,46046,46509,0.44859999999999994
26.02.2021 03:00:00.000 GMT+0100,46509,47843,45565,45577,0.4078
26.02.2021 07:00:00.000 GMT+0100,45578,46640,44197,46468,0.5027
26.02.2021 11:00:00.000 GMT+0100,46465,47296,45724,45980,0.42800000000000005
26.02.2021 15:00:00.000 GMT+0100,45978,48497,45905,47722,0.429
26.02.2021 19:00:00.000 GMT+0100,47725,47914,45571,45724,0.3751
