Local time,Open,High,Low,Close,Volume
01.08.2021 23:00:00.000 GMT+0200,41290,45379,37378,43901,9.699699999999996
08.08.2021 23:00:00.000 GMT+0200,43905,48182,42860,46767,8.918999999999997
15.08.2021 23:00:00.000 GMT+0200,46767,49847,43999,48469,7.951299999999998
22.08.2021 23:00:00.000 GMT+0200,48467,50553,46366,48973,8.601800000000008
29.08.2021 23:00:00.000 GMT+0200,48973,51754,46581,51710,8.4972
05.09.2021 23:00:00.000 GMT+0200,51713,52965,43054,45151,9.7043
12.09.2021 23:00:00.000 GMT+0200,45142,48848,43509,47642,11.5678
19.09.2021 23:00:00.000 GMT+0200,47641,47711,39676,43686,12.976699999999996
26.09.2021 23:00:00.000 GMT+0200,43696,49263,40826,48516,12.491899999999994
03.10.2021 23:00:00.000 GMT+0200,48514,56550,46989,55493,16.00249999999999
10.10.2021 23:00:00.000 GMT+0200,55460,62922,53980,59467,14.523900000000003
17.10.2021 23:00:00.000 GMT+0200,59467,67008,59376,61217,15.747100000000005
24.10.2021 23:00:00.000 GMT+0200,61217,63761,57941,61014,14.831299999999995
31.10.2021 22:00:00.000 GMT+0100,61024,64341,59575,62927,15.367200000000008
07.11.2021 23:00:00.000 GMT+0100,63027,69035,62366,64383,14.085699999999997
14.11.2021 23:00:00.000 GMT+0100,64385,66390,55702,59581,14.850999999999992
21.11.2021 23:00:00.000 GMT+0100,59599,59603,53418,56378,14.92079999999999
28.11.2021 23:00:00.000 GMT+0100,56528,59236,42518,49285,17.3023
05.12.2021 23:00:00.000 GMT+0100,49307,52034,46865,50028,15.772600000000008
12.12.2021 23:00:00.000 GMT+0100,50069,50451,45542,46792,12.609900000000003
19.12.2021 23:00:00.000 GMT+0100,46765,51875,45629,50873,10.595900000000002
26.12.2021 23:00:00.000 GMT+0100,50933,52090,46011,47078,8.275100000000005
02.01.2022 23:00:00.000 GMT+0100,47119,47626,40601,42370,10.210799999999997
09.01.2022 23:00:00.000 GMT+0100,42375,44477,39715,43027,10.477099999999997
16.01.2022 23:00:00.000 GMT+0100,43056,43560,34087,35417,11.782900000000003
23.01.2022 23:00:00.000 GMT+0100,35417,38969,33036,37803,13.3113
30.01.2022 23:00:00.000 GMT+0100,37829,42193,36321,41659,9.655300000000004
06.02.2022 23:00:00.000 GMT+0100,41659,45874,41573,42331,11.476899999999993
13.02.2022 23:00:00.000 GMT+0100,42326,44748,38067,38303,10.367499999999996
20.02.2022 23:00:00.000 GMT+0100,38356,40348,34394,37482,12.520100000000003
27.02.2022 23:00:00.000 GMT+0100,37533,45349,37434,39079,12.035900000000003
06.03.2022 23:00:00.000 GMT+0100,39109,42637,37220,38738,10.7336
13.03.2022 22:00:00.000 GMT+0100,38739,42416,37605,41347,10.562300000000002
20.03.2022 22:00:00.000 GMT+0100,41346,46639,40569,46142,13.540600000000001
27.03.2022 23:00:00.000 GMT+0200,46142,48254,44293,46428,10.049199999999995
03.04.2022 23:00:00.000 GMT+0200,46448,47500,42177,43171,7.646799999999997
10.04.2022 23:00:00.000 GMT+0200,43180,43281,39267,40318,5.8447
17.04.2022 23:00:00.000 GMT+0200,40336,43021,38606,39554,6.286500000000003
24.04.2022 23:00:00.000 GMT+0200,39585,40833,37466,38367,6.922499999999996
01.05.2022 23:00:00.000 GMT+0200,38375,40060,33766,34279,7.979500000000003
08.05.2022 23:00:00.000 GMT+0200,34283,34529,25431,31068,13.461099999999995
15.05.2022 23:00:00.000 GMT+0200,31091,31470,28652,29953,11.890100000000007
22.05.2022 23:00:00.000 GMT+0200,29971,30676,28068,29220,9.028999999999998
29.05.2022 23:00:00.000 GMT+0200,29230,32433,29205,29991,7.999500000000003
05.06.2022 23:00:00.000 GMT+0200,29991,31797,26914,27384,13.211900000000002
12.06.2022 23:00:00.000 GMT+0200,27405,27562,17643,20655,19.168899999999997
19.06.2022 23:00:00.000 GMT+0200,20680,21905,19664,21450,16.270999999999994
26.06.2022 23:00:00.000 GMT+0200,21456,21551,18672,19469,14.332100000000004
03.07.2022 23:00:00.000 GMT+0200,19480,22505,19082,21017,15.281500000000003
10.07.2022 23:00:00.000 GMT+0200,21039,21694,18943,20973,12.046199999999997
17.07.2022 23:00:00.000 GMT+0200,20996,24312,20789,22765,14.341400000000004
24.07.2022 23:00:00.000 GMT+0200,22789,24715,20767,23844,12.668600000000003
31.07.2022 23:00:00.000 GMT+0200,23871,23898,22447,23305,13.832300000000004
07.08.2022 23:00:00.000 GMT+0200,23332,25073,22717,24360,13.288899999999996
14.08.2022 23:00:00.000 GMT+0200,24385,25240,20811,21515,11.3508
21.08.2022 23:00:00.000 GMT+0200,21534,21927,19857,20031,5.948600000000002
28.08.2022 23:00:00.000 GMT+0200,20031,20606,19562,19941,4.111899999999999
04.09.2022 23:00:00.000 GMT+0200,19941,21925,18588,21678,2.350599999999999
11.09.2022 23:00:00.000 GMT+0200,21678,22814,19377,19755,6.0051
18.09.2022 23:00:00.000 GMT+0200,19755,19916,18209,18959,4.022700000000002
25.09.2022 23:00:00.000 GMT+0200,18959,20410,18525,19272,5.6850000000000005
02.10.2022 23:00:00.000 GMT+0200,19272,20500,18967,19524,1.4292999999999978
09.10.2022 23:00:00.000 GMT+0200,19523,19980,18222,19372,0.9992
16.10.2022 23:00:00.000 GMT+0200,19372,19735,18706,19539,0.8981999999999991
23.10.2022 23:00:00.000 GMT+0200,19539,21108,19206,20730,1.5784000000000007
30.10.2022 22:00:00.000 GMT+0100,20730,21541,20083,21172,3.217399999999999
06.11.2022 23:00:00.000 GMT+0100,21194,21240,15608,16414,7.775699999999999
13.11.2022 23:00:00.000 GMT+0100,16414,17206,15831,16303,2.6098999999999983
20.11.2022 23:00:00.000 GMT+0100,16321,16822,15511,16617,3.6105000000000014
27.11.2022 23:00:00.000 GMT+0100,16617,17321,16039,17155,0.43290000000000034
04.12.2022 23:00:00.000 GMT+0100,17155,17453,16724,17157,0.5657999999999989
11.12.2022 23:00:00.000 GMT+0100,17157,18403,16595,16794,4.124599999999999
18.12.2022 23:00:00.000 GMT+0100,16814,17088,16316,16894,3.4632999999999963
25.12.2022 23:00:00.000 GMT+0100,16895,16998,16373,16645,0.9637999999999992
01.01.2023 23:00:00.000 GMT+0100,16645,17063,16585,16999,1.785399999999999
08.01.2023 23:00:00.000 GMT+0100,17020,21347,17004,20943,5.1628
15.01.2023 23:00:00.000 GMT+0100,20875,23385,20444,22630,6.220999999999999
22.01.2023 23:00:00.000 GMT+0100,22654,23993,22371,23834,2.9441999999999986
29.01.2023 23:00:00.000 GMT+0100,23834,24286,22550,22936,4.017700000000001
05.02.2023 23:00:00.000 GMT+0100,22936,23476,21514,21777,1.5999000000000008
12.02.2023 23:00:00.000 GMT+0100,21777,25283,21415,24581,3.6022000000000003
19.02.2023 23:00:00.000 GMT+0100,24581,25285,22810,23596,3.4074999999999998
26.02.2023 23:00:00.000 GMT+0100,23596,24017,22035,22523,3.2217000000000002
05.03.2023 23:00:00.000 GMT+0100,22523,22600,19613,21525,4.2265999999999995
12.03.2023 22:00:00.000 GMT+0100,21524,28437,21310,28001,16.923799999999993
19.03.2023 22:00:00.000 GMT+0100,28001,28935,26718,27841,13.828999999999999
26.03.2023 23:00:00.000 GMT+0200,27841,29209,26563,28111,2.3594000000000004
02.04.2023 23:00:00.000 GMT+0200,28111,28816,27264,28168,1.2578999999999991
09.04.2023 23:00:00.000 GMT+0200,28168,31069,28168,30396,4.3447000000000005
16.04.2023 23:00:00.000 GMT+0200,30396,30521,27196,27537,2.5447999999999986
23.04.2023 23:00:00.000 GMT+0200,27537,30055,27020,29386,5.401199999999999
30.04.2023 23:00:00.000 GMT+0200,29386,29910,27705,28987,1.9241
07.05.2023 23:00:00.000 GMT+0200,28987,29022,25867,26987,1.7270999999999987
14.05.2023 23:00:00.000 GMT+0200,27015,27706,26401,26883,1.0159999999999991
21.05.2023 23:00:00.000 GMT+0200,26883,27782,25907,27601,0.6562000000000002
28.05.2023 23:00:00.000 GMT+0200,27601,28487,26549,27277,0.9144999999999993
04.06.2023 23:00:00.000 GMT+0200,27277,27495,25390,26159,2.8985999999999996
11.06.2023 23:00:00.000 GMT+0200,26159,26836,24795,26506,3.5573
18.06.2023 23:00:00.000 GMT+0200,26506,31449,26293,30410,1.8604
25.06.2023 23:00:00.000 GMT+0200,30410,31303,29484,30625,0.48390000000000016
02.07.2023 23:00:00.000 GMT+0200,30654,31539,29765,30233,0.856
09.07.2023 23:00:00.000 GMT+0200,30233,31861,29957,30310,0.8905999999999993
16.07.2023 23:00:00.000 GMT+0200,30310,30454,29570,30178,0.6781999999999987
23.07.2023 23:00:00.000 GMT+0200,30207,30209,28900,29310,0.918399999999997
30.07.2023 23:00:00.000 GMT+0200,29310,30066,28620,29157,1.3018999999999974
06.08.2023 23:00:00.000 GMT+0200,29157,30228,28723,29460,0.7611999999999995
13.08.2023 23:00:00.000 GMT+0200,29460,29697,25430,26274,1.0637999999999985
20.08.2023 23:00:00.000 GMT+0200,26274,26831,25399,26130,0.32829999999999987
27.08.2023 23:00:00.000 GMT+0200,26130,28171,25375,26086,0.8836999999999998
03.09.2023 23:00:00.000 GMT+0200,26086,26473,25429,25860,1.4276999999999982
10.09.2023 23:00:00.000 GMT+0200,25860,26939,24960,26480,1.074400000000001
17.09.2023 23:00:00.000 GMT+0200,26480,27527,26395,26539,0.7664999999999996
24.09.2023 23:00:00.000 GMT+0200,26539,27344,26040,27149,0.8384
01.10.2023 23:00:00.000 GMT+0200,27149,28622,27133,27951,0.7171000000000005
08.10.2023 23:00:00.000 GMT+0200,27951,28040,26571,27240,0.47639999999999993
15.10.2023 23:00:00.000 GMT+0200,27240,30419,27077,29891,1.7596
22.10.2023 23:00:00.000 GMT+0200,29891,35231,29759,34619,1.9928999999999997
29.10.2023 22:00:00.000 GMT+0100,34619,35987,34080,34703,1.1021
05.11.2023 23:00:00.000 GMT+0100,34745,38007,34574,37210,1.6241999999999992
12.11.2023 23:00:00.000 GMT+0100,37210,38000,34878,37034,1.5164
19.11.2023 23:00:00.000 GMT+0100,37036,38456,35688,37658,1.0372999999999992
26.11.2023 23:00:00.000 GMT+0100,37658,39881,36765,39761,1.1199
03.12.2023 23:00:00.000 GMT+0100,39761,44756,39761,43840,1.4138999999999995
10.12.2023 23:00:00.000 GMT+0100,43840,43957,40231,41941,1.2933999999999992
17.12.2023 23:00:00.000 GMT+0100,41937,44436,40555,43550,1.0381
24.12.2023 23:00:00.000 GMT+0100,43590,43834,41362,42520,1.0366000000000002
31.12.2023 23:00:00.000 GMT+0100,43713,45944,40914,44282,2.4299
07.01.2024 23:00:00.000 GMT+0100,44282,49022,41510,42572,23.562299999999997
14.01.2024 23:00:00.000 GMT+0100,42582,43597,40302,41802,20.351699999999994
21.01.2024 23:00:00.000 GMT+0100,41802,42865,38549,42014,19.443700000000003
28.01.2024 23:00:00.000 GMT+0100,42014,43891,41658,42811,15.54599999999971
04.02.2024 23:00:00.000 GMT+0100,42818,48629,42280,48165,5.4045000000005645
11.02.2024 23:00:00.000 GMT+0100,48165,52883,47752,51902,18.396399999999044
