Local time,Open,High,Low,Close,Volume
20.03.2022 22:00:00.000 GMT+0100,4466.461,4546.761,4424.746,4543.164,1223.7405999999996
27.03.2022 23:00:00.000 GMT+0200,4539.949,4637.367,4507.249,4538.061,1194.4212
03.04.2022 23:00:00.000 GMT+0200,4544.358,4594.261,4449.801,4490.449,1110.4956
10.04.2022 23:00:00.000 GMT+0200,4494.246,4496.949,4381.201,4390.764,935.9028999999999
17.04.2022 23:00:00.000 GMT+0200,4387.155,4514.152,4257.303,4260.167,1148.4473000000003
24.04.2022 23:00:00.000 GMT+0200,4267.864,4309.267,4124.401,4146.767,1790.0954000000006
01.05.2022 23:00:00.000 GMT+0200,4142.101,4308.654,4062.101,4110.964,2086.7178000000004
08.05.2022 23:00:00.000 GMT+0200,4102.961,4104.161,3859.301,4015.958,2389.867700000001
15.05.2022 23:00:00.000 GMT+0200,4028.952,4097.967,3810.701,3900.364,1836.1039999999994
22.05.2022 23:00:00.000 GMT+0200,3917.101,4164.264,3874.252,4162.701,1600.0028
29.05.2022 23:00:00.000 GMT+0200,4167.701,4204.467,4073.501,4114.549,1410.2805999999996
05.06.2022 23:00:00.000 GMT+0200,4116.758,4169.649,3897.701,3910.261,1352.4487999999992
12.06.2022 23:00:00.000 GMT+0200,3869.761,3878.701,3636.051,3676.452,2168.8377000000005
19.06.2022 23:00:00.000 GMT+0200,3684.149,3916.567,3659.103,3905.849,1258.7686999999999
26.06.2022 23:00:00.000 GMT+0200,3918.249,3946.567,3737.801,3823.167,1406.7763000000002
03.07.2022 23:00:00.000 GMT+0200,3824.561,3918.967,3742.401,3902.752,1559.6118
10.07.2022 23:00:00.000 GMT+0200,3894.667,3896.961,3720.303,3861.152,1325.7525000000003
17.07.2022 23:00:00.000 GMT+0200,3874.067,4013.352,3818.055,3959.749,1424.5230999999994
24.07.2022 23:00:00.000 GMT+0200,3960.101,4141.461,3910.701,4129.952,1040.9863999999998
31.07.2022 23:00:00.000 GMT+0200,4133.046,4171.458,4079.255,4140.655,736.2996999999997
07.08.2022 23:00:00.000 GMT+0200,4147.858,4280.158,4111.767,4276.267,574.5177999999999
